epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6762,0.6943,0.67,0.6643,0.7298,0.7415,0.7274,0.7106,0.0929,0.8189,0.0602,0.7999,0.6106,0.7467,0.76,0.7,0.78,0.8223,0.8344,0.7849,0.8415,0.12,0.7818,0.1217,0.5284,0.6829,0.7694,0.5063
1,0.719,0.7543,0.7029,0.7,0.7871,0.82,0.7783,0.7578,0.0743,0.8523,0.0588,0.7655,0.5559,0.76,0.75,0.77,0.76,0.8284,0.832,0.7934,0.8459,0.11,0.8167,0.0538,0.8352,0.7451,0.7844,0.5045
2,0.7343,0.7643,0.7186,0.72,0.8099,0.843,0.8114,0.7726,0.1,0.8039,0.0859,0.8492,0.5287,0.7633,0.77,0.76,0.76,0.8395,0.8478,0.7999,0.8619,0.08,0.8545,0.045,0.7795,0.7533,0.7843,0.5104
3,0.741,0.7529,0.7443,0.7257,0.8157,0.8307,0.8047,0.8021,0.1029,0.812,0.0533,0.796,0.5224,0.76,0.76,0.74,0.78,0.8362,0.8425,0.7938,0.8551,0.12,0.7736,0.0388,0.7592,0.7308,0.7832,0.6295
