epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.689,0.6943,0.69,0.6829,0.7384,0.7367,0.7389,0.7198,0.1429,0.7442,0.1003,0.7439,0.6049,0.7622,0.8133,0.6967,0.7767,0.8328,0.8619,0.7847,0.8353,0.15,0.7097,0.1787,0.298,0.6739,0.7713,3.473
1,0.7229,0.7329,0.7157,0.72,0.7906,0.7849,0.7914,0.7741,0.2171,0.632,0.1811,0.4682,0.55,0.7778,0.8133,0.7267,0.7933,0.8443,0.8786,0.7919,0.841,0.1867,0.7021,0.2226,0.3878,0.7056,0.7746,0.4898
2,0.741,0.7543,0.7357,0.7329,0.8188,0.8259,0.8196,0.7964,0.2471,0.6041,0.1943,0.4584,0.5229,0.7833,0.8267,0.7367,0.7867,0.8532,0.8814,0.8118,0.8458,0.1833,0.6626,0.1851,0.217,0.7165,0.7922,0.5327
3,0.75,0.7657,0.7343,0.75,0.827,0.8465,0.8157,0.8031,0.2,0.6667,0.1757,0.4672,0.5123,0.7689,0.8133,0.72,0.7733,0.8415,0.8763,0.7805,0.844,0.2067,0.6517,0.2375,0.2742,0.7004,0.7661,2.2583
4,0.7705,0.7957,0.7486,0.7671,0.8465,0.8719,0.826,0.822,0.2286,0.6313,0.1937,0.4251,0.4855,0.7633,0.81,0.7167,0.7633,0.8424,0.8709,0.7806,0.847,0.13,0.7234,0.1124,0.3134,0.6982,0.7694,3.9731
5,0.7914,0.8157,0.7771,0.7814,0.8713,0.8878,0.8582,0.8552,0.18,0.7083,0.1512,0.4912,0.4519,0.7656,0.8167,0.7267,0.7533,0.8304,0.8535,0.7698,0.8347,0.1967,0.6488,0.2086,0.235,0.6946,0.7633,1.057
6,0.791,0.7971,0.7757,0.8,0.8695,0.8768,0.8507,0.8688,0.1986,0.6683,0.151,0.4515,0.4529,0.7567,0.8133,0.7167,0.74,0.8259,0.8481,0.7732,0.823,0.23,0.6349,0.2793,0.2686,0.6796,0.7662,2.1212
7,0.8119,0.8557,0.7757,0.8043,0.8844,0.9065,0.8611,0.8678,0.2014,0.6729,0.1944,0.3457,0.4313,0.7533,0.8067,0.7033,0.75,0.8223,0.8531,0.7537,0.8231,0.23,0.6387,0.2937,0.2821,0.6807,0.7473,0.6293
8,0.8233,0.8371,0.8071,0.8257,0.8988,0.9079,0.8863,0.891,0.1971,0.6871,0.151,0.4515,0.4057,0.7522,0.81,0.7067,0.74,0.8031,0.8328,0.7536,0.7991,0.1633,0.7048,0.1948,0.3305,0.6743,0.7414,3.6149
9,0.8257,0.8429,0.8286,0.8057,0.9059,0.9217,0.9074,0.8825,0.19,0.7005,0.1293,0.4902,0.3944,0.7589,0.8067,0.7033,0.7667,0.8084,0.8321,0.7525,0.8098,0.1967,0.6704,0.2456,0.3074,0.683,0.7479,9.6539
