epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6695,0.6857,0.66,0.6629,0.7269,0.7312,0.7266,0.7016,0.1771,0.699,0.1689,0.5875,0.6121,0.7589,0.7933,0.7067,0.7767,0.8407,0.8431,0.8044,0.8477,0.1333,0.7333,0.1354,0.3793,0.6871,0.804,0.4934
1,0.719,0.7271,0.7057,0.7243,0.792,0.7971,0.7812,0.7783,0.2029,0.6619,0.1746,0.523,0.5434,0.7756,0.8067,0.7233,0.7967,0.8429,0.8475,0.8076,0.8487,0.1033,0.7919,0.1082,0.4335,0.7022,0.8061,0.4921
2,0.7367,0.7586,0.7071,0.7443,0.8096,0.8251,0.7828,0.7974,0.23,0.6247,0.2214,0.418,0.5301,0.7789,0.7933,0.7367,0.8067,0.8555,0.8605,0.824,0.8654,0.1367,0.7355,0.131,0.3448,0.7182,0.8176,0.4829
3,0.7519,0.7771,0.74,0.7386,0.8303,0.8519,0.8232,0.7994,0.2286,0.633,0.1974,0.4383,0.505,0.7778,0.8133,0.73,0.79,0.8526,0.858,0.8235,0.8565,0.1433,0.7075,0.1214,0.2969,0.7099,0.8211,0.5276
4,0.7643,0.7843,0.75,0.7586,0.8386,0.8532,0.8244,0.8225,0.2171,0.6553,0.1992,0.4274,0.4978,0.7722,0.7967,0.7433,0.7767,0.8511,0.8571,0.8229,0.8516,0.17,0.6909,0.1467,0.3793,0.73,0.8225,0.5002
5,0.7824,0.7943,0.7643,0.7886,0.8539,0.8736,0.8407,0.8372,0.22,0.6427,0.1822,0.4152,0.4746,0.7767,0.7967,0.7533,0.78,0.8498,0.857,0.8277,0.8469,0.15,0.7115,0.0921,0.4936,0.742,0.8232,0.5104
6,0.791,0.82,0.7857,0.7671,0.8699,0.8881,0.8732,0.8372,0.2114,0.6652,0.1611,0.4707,0.4527,0.78,0.81,0.75,0.78,0.85,0.8532,0.8217,0.8572,0.1667,0.6732,0.1214,0.2969,0.7358,0.8184,0.6017
7,0.8162,0.8429,0.7929,0.8129,0.8898,0.9028,0.8829,0.8706,0.2214,0.6517,0.1953,0.3505,0.4228,0.7756,0.77,0.7667,0.79,0.8482,0.8569,0.8163,0.8524,0.1767,0.6919,0.126,0.4668,0.7538,0.8117,0.5877
8,0.8167,0.84,0.8157,0.7943,0.8981,0.9133,0.8981,0.8734,0.1971,0.6828,0.132,0.4795,0.4107,0.7578,0.7467,0.7467,0.78,0.8339,0.8489,0.7959,0.8462,0.19,0.7178,0.2069,0.4828,0.7255,0.7828,0.6068
9,0.8329,0.8586,0.83,0.81,0.9113,0.9314,0.9007,0.8925,0.1886,0.6993,0.1401,0.4231,0.3834,0.7689,0.7933,0.73,0.7833,0.8359,0.8463,0.8014,0.8411,0.19,0.6705,0.1944,0.3319,0.7134,0.7961,0.6417
