epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6652,0.6771,0.6786,0.64,0.7187,0.7305,0.7266,0.6924,0.0514,0.898,0.0527,0.8625,0.6185,0.7678,0.7967,0.7267,0.78,0.8427,0.866,0.794,0.8455,0.1567,0.7099,0.1558,0.3653,0.7094,0.784,7.8435
1,0.689,0.7057,0.6843,0.6771,0.7705,0.7894,0.7542,0.7481,0.2086,0.6516,0.1622,0.5855,0.5669,0.7711,0.82,0.72,0.7733,0.8532,0.8783,0.7972,0.8583,0.1733,0.6829,0.1931,0.2675,0.6996,0.7854,6.0521
2,0.731,0.7529,0.7271,0.7129,0.805,0.8212,0.7875,0.7861,0.2129,0.641,0.1757,0.4672,0.5324,0.7811,0.8233,0.7333,0.7867,0.8484,0.8775,0.7944,0.848,0.1633,0.7118,0.1766,0.3526,0.713,0.783,6.37
3,0.7486,0.7743,0.7343,0.7371,0.82,0.8303,0.818,0.7897,0.2443,0.6183,0.221,0.4192,0.519,0.7722,0.8267,0.7167,0.7733,0.8528,0.8804,0.8031,0.846,0.1933,0.6352,0.1972,0.1967,0.695,0.7866,0.4966
4,0.7676,0.7814,0.7686,0.7529,0.8388,0.8518,0.8317,0.8215,0.2257,0.6457,0.182,0.4541,0.4982,0.7578,0.8167,0.7033,0.7533,0.8477,0.8798,0.7828,0.8559,0.1867,0.6564,0.2241,0.2047,0.6779,0.767,2.9764
5,0.7724,0.79,0.7614,0.7657,0.8517,0.869,0.8427,0.8273,0.2457,0.6186,0.2136,0.3922,0.476,0.7567,0.7833,0.73,0.7567,0.8426,0.8747,0.7867,0.8461,0.17,0.7151,0.1596,0.4985,0.7184,0.772,7.2862
6,0.7743,0.7914,0.7643,0.7671,0.8554,0.8728,0.8327,0.8472,0.2186,0.6467,0.1616,0.4874,0.475,0.7578,0.7933,0.7233,0.7567,0.8441,0.8672,0.7971,0.8427,0.2033,0.6303,0.1878,0.2878,0.7075,0.7878,0.5326
7,0.8086,0.8457,0.7929,0.7871,0.8821,0.9091,0.8674,0.8567,0.2414,0.6253,0.2035,0.347,0.4311,0.7411,0.79,0.7067,0.7267,0.8249,0.8559,0.7742,0.8222,0.1967,0.6529,0.1809,0.4148,0.6751,0.7607,0.5935
8,0.8033,0.82,0.7886,0.8014,0.8825,0.8936,0.8654,0.875,0.2171,0.6432,0.1585,0.4166,0.4329,0.7611,0.8,0.73,0.7533,0.8354,0.8622,0.7925,0.8307,0.2067,0.6331,0.1831,0.3287,0.7062,0.7776,0.6242
9,0.8262,0.8371,0.8143,0.8271,0.9011,0.9049,0.8925,0.8972,0.22,0.65,0.1594,0.3974,0.3998,0.7478,0.8067,0.69,0.7467,0.8429,0.8723,0.7857,0.8468,0.16,0.6779,0.1605,0.321,0.669,0.773,0.7038
