epoch, es_acc, acc, acc_class0, acc_class1, acc_class2, es_auc, auc, auc_class0, auc_class1, auc_class2, dpd, dpr, eod, eor, path
4, 0.6994, 0.7856, 0.8300, 0.7267, 0.7700, 0.7767, 0.8430, 0.8752, 0.8038, 0.8290, 0.1167, 0.7667, 0.1204, 0.3694, ./results/crosssectional_rnflt_fin_race_ablation_of_sigma/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6
2, 0.6583, 0.7989, 0.7767, 0.6900, 0.7100, 0.7229, 0.8119, 0.8589, 0.7568, 0.7909, 0.2533, 0.6021, 0.3055, 0.2851, ./results/crosssectional_rnflt_fin_race_ablation_of_sigma/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6
4, 0.6860, 0.7744, 0.7933, 0.7033, 0.7533, 0.7544, 0.8294, 0.8580, 0.7661, 0.8370, 0.1800, 0.6727, 0.1875, 0.3556, ./results/crosssectional_rnflt_fin_race_ablation_of_sigma/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6
3, 0.6717, 0.7778, 0.7800, 0.6900, 0.7600, 0.7301, 0.8315, 0.8718, 0.7533, 0.8518, 0.1867, 0.6522, 0.2150, 0.2608, ./results/crosssectional_rnflt_fin_race_ablation_of_sigma/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6
1, 0.6690, 0.7711, 0.8067, 0.6900, 0.7467, 0.7730, 0.8429, 0.8723, 0.7857, 0.8468, 0.1600, 0.6779, 0.1605, 0.3210, ./results/crosssectional_rnflt_fin_race_ablation_of_sigma/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6
