epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6719,0.6714,0.6843,0.66,0.7373,0.7492,0.7409,0.7118,0.1043,0.8224,0.0604,0.8535,0.6075,0.7533,0.76,0.75,0.75,0.8297,0.8632,0.7948,0.8347,0.12,0.8,0.1039,0.6364,0.7434,0.7729,0.5412
1,0.7229,0.7314,0.7271,0.71,0.7871,0.8038,0.7947,0.7541,0.1043,0.7967,0.0629,0.8525,0.5479,0.7767,0.78,0.74,0.81,0.8452,0.8685,0.7957,0.8764,0.13,0.7797,0.1152,0.5536,0.7236,0.7656,0.4795
2,0.7305,0.7371,0.7243,0.73,0.7997,0.8158,0.7996,0.7748,0.0957,0.8232,0.0438,0.8367,0.535,0.75,0.76,0.7,0.79,0.8532,0.8799,0.799,0.8816,0.07,0.8627,0.0733,0.7381,0.6818,0.7692,0.4876
3,0.7329,0.7414,0.7357,0.7214,0.8174,0.8258,0.8182,0.7962,0.1257,0.7783,0.07,0.7554,0.5176,0.76,0.77,0.73,0.78,0.846,0.8604,0.7835,0.8816,0.15,0.7414,0.1152,0.5536,0.717,0.7605,0.489
