epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6857,0.7043,0.6814,0.6714,0.7389,0.7572,0.7407,0.7099,0.0943,0.813,0.0537,0.8048,0.6114,0.7767,0.8133,0.72,0.7967,0.8473,0.8733,0.7981,0.8592,0.14,0.7407,0.1649,0.3522,0.6976,0.7795,0.4825
1,0.721,0.7371,0.71,0.7157,0.7945,0.8079,0.7759,0.79,0.1043,0.8022,0.0546,0.7963,0.5436,0.78,0.8333,0.7167,0.79,0.8525,0.8795,0.8038,0.8625,0.1367,0.7389,0.1536,0.3501,0.6923,0.7853,0.4767
2,0.7357,0.7586,0.7214,0.7271,0.8179,0.8239,0.8155,0.8043,0.1314,0.7598,0.1033,0.6297,0.5159,0.7844,0.8233,0.73,0.8,0.8548,0.882,0.7997,0.8698,0.1467,0.7365,0.1671,0.3662,0.7074,0.779,0.4739
3,0.7595,0.77,0.7457,0.7629,0.8295,0.8438,0.8214,0.8144,0.1071,0.8005,0.0495,0.7897,0.5033,0.7756,0.8267,0.72,0.78,0.8467,0.8715,0.8002,0.8549,0.1533,0.7473,0.2044,0.4082,0.698,0.7844,0.4844
4,0.7648,0.8043,0.7543,0.7357,0.8435,0.8792,0.8389,0.8051,0.1171,0.7919,0.0951,0.6304,0.4895,0.7644,0.7967,0.7067,0.79,0.8388,0.8619,0.7927,0.8477,0.1433,0.7663,0.1868,0.4987,0.6853,0.7781,0.5144
5,0.7929,0.8143,0.79,0.7743,0.8663,0.8758,0.8596,0.8549,0.1529,0.7384,0.1013,0.5764,0.4581,0.77,0.8167,0.7133,0.78,0.845,0.8694,0.7928,0.8611,0.13,0.7468,0.1439,0.3667,0.6916,0.7733,0.5665
6,0.8043,0.8286,0.7929,0.7914,0.8789,0.8862,0.8688,0.8715,0.15,0.7433,0.1085,0.5394,0.4393,0.7489,0.81,0.6933,0.7433,0.8371,0.8612,0.7789,0.8557,0.14,0.7083,0.1578,0.2453,0.6673,0.7604,0.6704
7,0.8038,0.8157,0.8014,0.7943,0.8785,0.8863,0.8666,0.8746,0.1286,0.7789,0.0643,0.7093,0.4415,0.76,0.8167,0.7,0.7633,0.8286,0.8562,0.7759,0.838,0.1567,0.7134,0.2012,0.3085,0.6786,0.7605,0.5794
8,0.8233,0.8343,0.8214,0.8143,0.8965,0.9066,0.8954,0.88,0.1343,0.769,0.0605,0.6907,0.4111,0.7589,0.8,0.7067,0.77,0.8327,0.8543,0.7798,0.8501,0.14,0.7308,0.1493,0.3917,0.6871,0.7626,0.6044
9,0.8414,0.8557,0.8171,0.8514,0.9166,0.9279,0.8943,0.922,0.1129,0.8025,0.0641,0.6599,0.3706,0.7444,0.7867,0.6933,0.7533,0.8217,0.8534,0.7695,0.8279,0.1367,0.7469,0.153,0.4741,0.6754,0.7538,0.6765
