epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6695,0.6971,0.6443,0.6671,0.7246,0.7518,0.7139,0.7037,0.0757,0.849,0.0756,0.7629,0.6172,0.7567,0.73,0.78,0.76,0.8241,0.7922,0.8359,0.8471,0.06,0.8947,0.0887,0.6452,0.7184,0.7726,0.5278
1,0.7029,0.6914,0.7114,0.7057,0.782,0.7832,0.7788,0.7798,0.0757,0.8459,0.0432,0.8889,0.5529,0.7767,0.74,0.8,0.79,0.8476,0.8397,0.8261,0.8735,0.15,0.7692,0.1485,0.7955,0.7236,0.8031,0.4731
2,0.7257,0.7414,0.7229,0.7129,0.7967,0.8096,0.7952,0.7839,0.0543,0.8882,0.0352,0.8498,0.5362,0.7833,0.72,0.79,0.84,0.8225,0.7443,0.8387,0.8856,0.11,0.8281,0.1306,0.6217,0.6953,0.7107,0.6858
3,0.7571,0.7757,0.7471,0.7486,0.823,0.8344,0.8183,0.8047,0.1371,0.7532,0.0951,0.6304,0.5095,0.78,0.77,0.75,0.82,0.8554,0.8324,0.8312,0.8888,0.11,0.8103,0.0829,0.6327,0.7222,0.7916,0.4698
