epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6762,0.7014,0.6486,0.6786,0.7416,0.7748,0.711,0.7294,0.1157,0.73,0.0886,0.5992,0.6163,0.7656,0.8133,0.7167,0.7667,0.8392,0.8609,0.7996,0.8497,0.0867,0.8231,0.0819,0.5708,0.6974,0.7829,0.5006
1,0.7276,0.74,0.7271,0.7157,0.8009,0.8102,0.8107,0.7707,0.1243,0.7642,0.0838,0.735,0.5411,0.7744,0.8067,0.72,0.7967,0.8491,0.8777,0.801,0.8573,0.1,0.8171,0.1119,0.5755,0.6984,0.7826,0.4689
2,0.7367,0.7514,0.7257,0.7329,0.8093,0.8185,0.8051,0.794,0.1171,0.7807,0.0735,0.7144,0.5274,0.7711,0.81,0.7233,0.78,0.8445,0.8665,0.8025,0.8536,0.06,0.8723,0.0765,0.7466,0.7039,0.7869,0.5001
3,0.7638,0.7914,0.7471,0.7529,0.8297,0.8506,0.822,0.8082,0.1329,0.7621,0.0906,0.6527,0.5065,0.7656,0.81,0.71,0.7767,0.8432,0.8732,0.7915,0.8509,0.0867,0.8074,0.0749,0.4848,0.689,0.774,0.5288
4,0.761,0.7657,0.7471,0.77,0.8453,0.8509,0.8301,0.8426,0.1271,0.7676,0.0734,0.7021,0.487,0.7589,0.7933,0.7067,0.7767,0.8244,0.8495,0.7714,0.8416,0.0733,0.8406,0.0559,0.666,0.6871,0.7528,0.5552
5,0.78,0.8086,0.78,0.7514,0.861,0.8739,0.858,0.8445,0.14,0.7562,0.0932,0.6103,0.4677,0.76,0.7967,0.7,0.7833,0.8381,0.8625,0.7889,0.8467,0.0967,0.8014,0.1001,0.5212,0.6786,0.7744,0.5674
6,0.7943,0.8029,0.7971,0.7829,0.8666,0.8821,0.855,0.8505,0.1529,0.7325,0.09,0.708,0.4619,0.7456,0.7567,0.7067,0.7733,0.8327,0.8595,0.7819,0.8461,0.1367,0.7747,0.1705,0.531,0.6918,0.7631,0.5454
7,0.8152,0.8329,0.7971,0.8157,0.8924,0.9083,0.8848,0.8764,0.1371,0.7588,0.0831,0.6045,0.4138,0.7533,0.78,0.7,0.78,0.8333,0.8615,0.7828,0.8465,0.1267,0.7683,0.1371,0.5288,0.6807,0.7632,0.5975
8,0.8129,0.8357,0.7971,0.8057,0.8967,0.9144,0.8823,0.8882,0.1214,0.7864,0.0777,0.6302,0.4089,0.7567,0.77,0.7233,0.7767,0.8269,0.8526,0.7781,0.8477,0.1067,0.8084,0.1003,0.6322,0.7094,0.7549,0.6038
9,0.8376,0.85,0.8314,0.8314,0.9151,0.9199,0.9082,0.9103,0.1386,0.7634,0.0614,0.6742,0.3773,0.7556,0.7767,0.7067,0.7833,0.8168,0.8471,0.772,0.8293,0.0667,0.8701,0.0846,0.6419,0.6883,0.7511,0.7217
