epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6681,0.6943,0.6514,0.6586,0.726,0.7519,0.7292,0.6816,0.1514,0.7135,0.128,0.6282,0.6032,0.7744,0.7933,0.7267,0.8033,0.84,0.8474,0.8065,0.8518,0.1467,0.7442,0.1806,0.3793,0.7069,0.7979,0.5209
1,0.7214,0.7271,0.7171,0.72,0.7938,0.7984,0.7966,0.7644,0.1643,0.6974,0.1098,0.6377,0.5442,0.7733,0.7933,0.7267,0.8,0.8407,0.8522,0.8052,0.8521,0.17,0.7,0.1991,0.2937,0.7073,0.7945,0.4949
2,0.7348,0.7729,0.7286,0.7029,0.8163,0.8443,0.8059,0.775,0.2014,0.6561,0.1756,0.4493,0.5194,0.7856,0.8233,0.75,0.7833,0.8445,0.8574,0.8111,0.843,0.18,0.6687,0.1605,0.2644,0.7304,0.8059,1.0965
3,0.7671,0.7857,0.7586,0.7571,0.8332,0.8453,0.8224,0.8121,0.2114,0.6468,0.1593,0.4639,0.501,0.77,0.8033,0.73,0.7767,0.8428,0.8577,0.8068,0.8481,0.17,0.6982,0.1693,0.3793,0.713,0.798,1.9436
4,0.7648,0.7843,0.7471,0.7629,0.8593,0.8605,0.8475,0.8582,0.1886,0.685,0.1445,0.5363,0.4643,0.7567,0.7933,0.73,0.7467,0.8481,0.8598,0.807,0.8543,0.16,0.6547,0.1042,0.3034,0.705,0.8009,1.2614
5,0.7767,0.7714,0.7657,0.7929,0.8564,0.86,0.8515,0.8449,0.2086,0.6524,0.1686,0.4185,0.4672,0.7611,0.7767,0.72,0.7867,0.845,0.8555,0.8054,0.8533,0.19,0.6724,0.2194,0.2901,0.7033,0.7983,0.5223
6,0.801,0.82,0.7886,0.7943,0.8806,0.8917,0.8669,0.8705,0.2129,0.6535,0.1601,0.4263,0.4334,0.7589,0.7767,0.7233,0.7767,0.8439,0.845,0.8125,0.8547,0.23,0.6349,0.2624,0.296,0.7085,0.8089,0.5243
7,0.8038,0.81,0.79,0.8114,0.8916,0.9066,0.8758,0.8834,0.22,0.6393,0.1693,0.3769,0.4151,0.7533,0.76,0.7267,0.7733,0.8303,0.8331,0.7992,0.842,0.1933,0.7041,0.2069,0.4828,0.7152,0.7941,31.6895
8,0.8271,0.84,0.8214,0.82,0.9079,0.9125,0.9063,0.8971,0.1986,0.6775,0.1391,0.4182,0.3831,0.7556,0.7833,0.7167,0.7667,0.83,0.8408,0.7867,0.8465,0.1667,0.6894,0.1649,0.3522,0.701,0.7754,0.7013
9,0.841,0.8614,0.8386,0.8229,0.9148,0.9345,0.9027,0.8999,0.1743,0.7088,0.0979,0.5664,0.3759,0.7367,0.7533,0.7033,0.7533,0.8092,0.8221,0.7638,0.8216,0.1967,0.7204,0.2372,0.5256,0.6906,0.7558,0.6147
