epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6629,0.6629,0.6657,0.66,0.7219,0.7264,0.7243,0.7103,0.0357,0.9251,0.0329,0.8879,0.6118,0.7711,0.8067,0.7167,0.79,0.8482,0.8618,0.8004,0.8617,0.15,0.7305,0.1664,0.4094,0.6954,0.7891,0.4813
1,0.7014,0.7029,0.6957,0.7057,0.7801,0.7813,0.7777,0.7649,0.1714,0.7052,0.134,0.6225,0.5557,0.7878,0.8267,0.73,0.8067,0.8576,0.8745,0.8063,0.8651,0.1567,0.7186,0.174,0.3401,0.7062,0.7973,0.4602
2,0.7448,0.7643,0.7371,0.7329,0.8229,0.8347,0.813,0.8006,0.1886,0.6812,0.1476,0.5316,0.5119,0.7956,0.8267,0.7533,0.8067,0.8647,0.8846,0.8162,0.8675,0.1867,0.6744,0.1776,0.3022,0.7336,0.8071,0.4591
3,0.7495,0.7757,0.7414,0.7314,0.8262,0.8385,0.8104,0.8097,0.1943,0.6815,0.1739,0.4784,0.51,0.7811,0.8,0.7367,0.8067,0.8614,0.8782,0.8111,0.8709,0.17,0.6871,0.1812,0.2334,0.7173,0.8,0.4836
4,0.7667,0.7871,0.7457,0.7671,0.8442,0.8541,0.832,0.8307,0.2529,0.6031,0.2434,0.3282,0.4859,0.7889,0.8167,0.7533,0.7967,0.8626,0.8827,0.8144,0.8693,0.1767,0.6882,0.1557,0.3656,0.7365,0.8025,0.4832
5,0.7943,0.8171,0.79,0.7757,0.8602,0.8799,0.8513,0.8346,0.2071,0.6742,0.1719,0.4351,0.4727,0.7733,0.81,0.7433,0.7667,0.8525,0.8748,0.8067,0.857,0.1533,0.7107,0.1258,0.3986,0.7205,0.7949,0.5327
6,0.8024,0.8129,0.7857,0.8086,0.8785,0.8822,0.8761,0.863,0.2014,0.6736,0.1569,0.452,0.437,0.7733,0.8267,0.7267,0.7667,0.8542,0.8814,0.8051,0.8609,0.2,0.6939,0.259,0.3526,0.6988,0.7888,0.5233
7,0.8038,0.8443,0.7743,0.7929,0.8861,0.9132,0.8647,0.8679,0.1871,0.6953,0.1917,0.3548,0.4255,0.77,0.8267,0.7233,0.76,0.8491,0.8772,0.8005,0.8534,0.1767,0.7196,0.2317,0.3784,0.6916,0.7855,0.5415
8,0.8176,0.8386,0.8086,0.8057,0.892,0.9089,0.8795,0.8781,0.1986,0.6737,0.1329,0.4607,0.4153,0.7511,0.8,0.71,0.7433,0.8344,0.8738,0.7776,0.8278,0.19,0.7136,0.2505,0.426,0.6842,0.7566,0.5839
9,0.8348,0.8443,0.8157,0.8443,0.9165,0.921,0.9037,0.9176,0.1857,0.7052,0.1429,0.4598,0.3709,0.7744,0.82,0.7167,0.7867,0.8443,0.8782,0.7851,0.8499,0.1633,0.7135,0.1974,0.3419,0.6942,0.7685,0.6165
