epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6567,0.6629,0.6629,0.6443,0.7154,0.7226,0.7076,0.7084,0.0914,0.8367,0.0533,0.8556,0.6216,0.7556,0.7633,0.73,0.7733,0.8331,0.8524,0.8098,0.8308,0.1067,0.8129,0.1025,0.6363,0.7188,0.7974,0.4903
1,0.7219,0.7129,0.7357,0.7171,0.7891,0.7911,0.8007,0.7712,0.0971,0.8063,0.0715,0.8972,0.5424,0.7556,0.8067,0.6967,0.7633,0.8404,0.8759,0.8013,0.8333,0.09,0.8258,0.1199,0.5288,0.6759,0.7769,0.4753
2,0.7229,0.7257,0.7243,0.7186,0.8054,0.8247,0.7991,0.7832,0.1157,0.7863,0.0587,0.8064,0.5299,0.7611,0.81,0.7033,0.77,0.8452,0.8724,0.8022,0.8468,0.1067,0.7823,0.1193,0.4292,0.6823,0.7886,0.4904
3,0.7524,0.7771,0.73,0.75,0.82,0.8313,0.807,0.813,0.0986,0.8089,0.0688,0.6986,0.518,0.7667,0.8067,0.71,0.7833,0.8478,0.874,0.8011,0.851,0.1567,0.7283,0.19,0.4029,0.6886,0.7878,0.4821
4,0.7514,0.7843,0.7257,0.7443,0.833,0.8511,0.8139,0.8274,0.1329,0.7603,0.1259,0.5547,0.4987,0.7522,0.8067,0.7,0.75,0.8441,0.8872,0.7945,0.831,0.1533,0.7386,0.2044,0.4082,0.6784,0.7634,0.4965
5,0.7843,0.81,0.7614,0.7814,0.853,0.876,0.8299,0.8425,0.1557,0.7309,0.1276,0.5242,0.4751,0.7633,0.8033,0.72,0.7667,0.8408,0.8745,0.7927,0.8372,0.15,0.768,0.1949,0.5128,0.7025,0.7746,0.5275
6,0.7952,0.8129,0.7814,0.7914,0.8674,0.8797,0.8651,0.8519,0.1314,0.7694,0.0859,0.6294,0.4547,0.7511,0.8,0.69,0.7633,0.8433,0.8755,0.7929,0.8459,0.11,0.7925,0.1472,0.4777,0.6693,0.777,0.5524
7,0.8114,0.8286,0.81,0.7957,0.8862,0.8986,0.8839,0.8708,0.1357,0.7666,0.0723,0.6559,0.426,0.7456,0.7967,0.6967,0.7433,0.8262,0.8728,0.7633,0.828,0.0833,0.8344,0.0953,0.5966,0.6764,0.7435,0.6031
8,0.8248,0.8243,0.8314,0.8186,0.9007,0.8982,0.9046,0.8927,0.16,0.7333,0.0811,0.6917,0.4049,0.7422,0.7967,0.6967,0.7333,0.821,0.854,0.7671,0.8271,0.0933,0.8282,0.1242,0.5729,0.6693,0.7511,0.6609
9,0.8276,0.8329,0.8129,0.8371,0.9104,0.9236,0.894,0.9111,0.1371,0.7641,0.0771,0.6265,0.3849,0.74,0.7967,0.6633,0.76,0.8176,0.8611,0.7488,0.8305,0.1133,0.8057,0.205,0.4756,0.6416,0.7267,0.6675
