Disease,AUC (3),AUC (4),AUC (5),AUC (6),Overall AUC,Acc (3),Acc (4),Acc (5),Acc (6),Overall Acc,ES-AUC
Eczema,0.8534,0.8299,0.8032,0.8152,0.8311,0.7838,0.7788,0.7195,0.7465,0.7583,0.7786
Fungal,0.8756,0.8768,0.8038,0.8763,0.8711,0.8378,0.7885,0.7195,0.7746,0.7795,0.8047
Scabies,0.9209,0.8581,0.9429,0.8799,0.9070,0.9189,0.9423,0.9512,0.8732,0.9245,0.8056
Other,0.9881,0.9697,0.9619,0.8125,0.9541,0.9189,0.8173,0.8537,0.8732,0.8610,0.7957
