Disease,AUC (3),AUC (4),AUC (5),AUC (6),Overall AUC,Acc (3),Acc (4),Acc (5),Acc (6),Overall Acc,ES-AUC
Eczema,0.8806,0.8456,0.8872,0.7985,0.8673,0.7297,0.8173,0.8171,0.8169,0.7976,0.7718
Fungal,0.8727,0.8823,0.8205,0.8502,0.8723,0.8108,0.8269,0.8049,0.7183,0.7946,0.8044
Scabies,0.9650,0.8073,0.9310,0.8728,0.9065,0.8919,0.9423,0.9390,0.8732,0.9154,0.7455
Other,0.9714,0.9370,0.9591,0.9062,0.9487,0.8649,0.8558,0.8049,0.7746,0.8278,0.8726
