epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6814,0.7186,0.69,0.6357,0.7388,0.7726,0.7338,0.6905,0.1343,0.7546,0.1213,0.6612,0.6022,0.7733,0.79,0.7267,0.8033,0.8463,0.8774,0.7914,0.861,0.14,0.7439,0.1649,0.3522,0.7073,0.7689,0.4824
1,0.7105,0.7343,0.6929,0.7043,0.7914,0.8065,0.7713,0.7742,0.17,0.7003,0.1595,0.5317,0.5459,0.7744,0.81,0.7233,0.79,0.8534,0.8736,0.794,0.8707,0.18,0.6604,0.1881,0.2042,0.7026,0.7779,0.4797
2,0.7419,0.77,0.7329,0.7229,0.8184,0.8533,0.8104,0.7679,0.2086,0.6499,0.1828,0.4393,0.5169,0.7744,0.8133,0.7233,0.7867,0.852,0.8784,0.7881,0.8689,0.1867,0.6564,0.1994,0.2167,0.7026,0.7695,0.4835
3,0.7581,0.7743,0.7357,0.7643,0.8376,0.8637,0.8132,0.824,0.2271,0.6276,0.2004,0.4115,0.4936,0.7778,0.7967,0.74,0.7967,0.8538,0.8772,0.7907,0.8783,0.1967,0.6529,0.2016,0.2354,0.7231,0.7686,0.5086
4,0.7781,0.7986,0.7529,0.7829,0.8503,0.8712,0.83,0.8347,0.2057,0.6612,0.1855,0.4116,0.48,0.7711,0.8,0.7067,0.8067,0.8501,0.8809,0.7896,0.8618,0.2167,0.6649,0.3078,0.2639,0.6831,0.7707,0.4878
5,0.7829,0.8071,0.7657,0.7757,0.8624,0.8811,0.8521,0.8411,0.2071,0.6644,0.1873,0.399,0.4597,0.76,0.7933,0.7067,0.78,0.8486,0.8878,0.778,0.8606,0.2167,0.6264,0.2583,0.2107,0.6867,0.7566,0.5576
6,0.809,0.8171,0.8071,0.8029,0.8812,0.8965,0.871,0.8651,0.1729,0.7112,0.1058,0.5509,0.432,0.7556,0.7933,0.6933,0.78,0.8425,0.8796,0.7771,0.8528,0.17,0.7135,0.2326,0.3603,0.6719,0.7571,0.5549
7,0.8176,0.8443,0.82,0.7886,0.8951,0.9148,0.8906,0.8684,0.1786,0.6921,0.1281,0.5526,0.41,0.7344,0.76,0.6733,0.77,0.8283,0.8712,0.7511,0.8422,0.1867,0.7083,0.2821,0.3793,0.6545,0.7306,0.5708
8,0.8076,0.8329,0.7857,0.8043,0.9017,0.9224,0.8844,0.8867,0.1729,0.7186,0.1529,0.459,0.4003,0.7522,0.7867,0.7,0.77,0.8368,0.8729,0.7631,0.859,0.2067,0.6173,0.2335,0.1713,0.6811,0.7393,0.6798
9,0.8424,0.8657,0.8414,0.82,0.9231,0.9403,0.9173,0.904,0.1886,0.6894,0.1165,0.5195,0.3545,0.7433,0.78,0.69,0.76,0.8315,0.8718,0.7533,0.8518,0.1867,0.6522,0.215,0.2608,0.6717,0.7301,0.778
