epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6867,0.73,0.6743,0.6557,0.7367,0.7539,0.7347,0.6936,0.2014,0.6289,0.2009,0.3973,0.6067,0.7722,0.8,0.7133,0.8033,0.8449,0.861,0.8013,0.8563,0.1667,0.6951,0.2107,0.2276,0.6909,0.7888,0.4869
1,0.7167,0.7214,0.7186,0.71,0.7918,0.7869,0.7936,0.7739,0.2143,0.6487,0.1704,0.5296,0.5478,0.77,0.8033,0.7133,0.7933,0.8495,0.8678,0.8018,0.8582,0.1633,0.7048,0.1991,0.2937,0.6916,0.7904,0.4837
2,0.7243,0.7457,0.7086,0.7186,0.8064,0.8228,0.7967,0.7777,0.2171,0.6481,0.2057,0.4645,0.5361,0.7778,0.81,0.7267,0.7967,0.8545,0.8674,0.8056,0.8661,0.1767,0.6882,0.1922,0.3181,0.7056,0.796,0.4782
3,0.751,0.7771,0.7314,0.7443,0.8346,0.8474,0.8261,0.8134,0.2029,0.6651,0.1946,0.4285,0.5003,0.7733,0.79,0.7333,0.7967,0.8516,0.8648,0.8094,0.8581,0.2033,0.6685,0.2329,0.3075,0.716,0.802,0.4856
4,0.7743,0.7957,0.7629,0.7643,0.8505,0.87,0.8369,0.8327,0.2314,0.6301,0.2018,0.3813,0.4807,0.7711,0.7867,0.7433,0.7833,0.849,0.858,0.817,0.8524,0.19,0.6705,0.1831,0.3287,0.7305,0.8129,0.5264
5,0.7757,0.7871,0.7571,0.7829,0.8575,0.8593,0.8505,0.8446,0.1957,0.6799,0.1666,0.4716,0.4753,0.7744,0.8,0.7367,0.7867,0.8403,0.854,0.8016,0.8434,0.2,0.6757,0.2191,0.3486,0.72,0.7961,0.5313
6,0.8071,0.8229,0.7986,0.8,0.8741,0.8719,0.8763,0.8637,0.2271,0.6395,0.1835,0.3588,0.4455,0.7589,0.7767,0.72,0.78,0.8312,0.8391,0.7859,0.8437,0.1833,0.7011,0.2097,0.4085,0.7041,0.7801,0.5412
7,0.82,0.8529,0.8029,0.8043,0.8954,0.9273,0.8765,0.8694,0.2,0.6759,0.1429,0.4598,0.4152,0.7678,0.7967,0.7333,0.7733,0.8423,0.8588,0.8034,0.8415,0.1967,0.657,0.1922,0.3181,0.7183,0.7976,0.6039
8,0.8243,0.8286,0.8129,0.8314,0.902,0.9164,0.8898,0.8937,0.1943,0.6888,0.1396,0.465,0.3996,0.7456,0.77,0.7133,0.7533,0.8251,0.8477,0.7821,0.8239,0.1833,0.691,0.1915,0.4306,0.7004,0.7735,0.6396
9,0.8381,0.8729,0.8214,0.82,0.9141,0.9351,0.8994,0.8973,0.1743,0.7156,0.1328,0.4361,0.3768,0.7567,0.7633,0.73,0.7767,0.8374,0.8499,0.8021,0.841,0.1567,0.7117,0.1489,0.3934,0.7184,0.7963,0.6602
