epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6771,0.6971,0.6771,0.6571,0.7376,0.7489,0.7339,0.7178,0.1057,0.7784,0.0696,0.7339,0.6055,0.7756,0.8267,0.7167,0.7833,0.8471,0.8543,0.8054,0.8571,0.11,0.7724,0.1177,0.3526,0.6938,0.7998,0.4869
1,0.7243,0.7414,0.73,0.7014,0.801,0.8138,0.7982,0.7734,0.1714,0.6834,0.1122,0.5698,0.5373,0.76,0.8033,0.7133,0.7633,0.8457,0.8536,0.8064,0.8543,0.13,0.7254,0.115,0.334,0.6951,0.8009,0.5494
2,0.7424,0.7757,0.7243,0.7271,0.8231,0.8396,0.8137,0.7974,0.1714,0.6915,0.1565,0.4532,0.5173,0.7644,0.7933,0.7267,0.7733,0.8439,0.8611,0.7994,0.848,0.21,0.6719,0.237,0.3793,0.7107,0.7918,0.4828
3,0.7505,0.7771,0.7214,0.7529,0.8288,0.8418,0.8175,0.8088,0.2071,0.6572,0.2109,0.3999,0.5088,0.78,0.82,0.7367,0.7833,0.8512,0.8722,0.7989,0.859,0.2233,0.6378,0.2466,0.2668,0.7178,0.7872,0.4856
4,0.7571,0.7729,0.74,0.7586,0.8413,0.8548,0.8245,0.831,0.2243,0.6416,0.2064,0.4186,0.4914,0.7744,0.81,0.72,0.7933,0.856,0.8718,0.8046,0.8672,0.1633,0.7083,0.1853,0.3426,0.6984,0.7937,0.6073
5,0.7852,0.7986,0.7729,0.7843,0.8625,0.8697,0.8511,0.8544,0.2229,0.6479,0.19,0.4107,0.4664,0.7522,0.8067,0.6867,0.7633,0.8406,0.8626,0.7897,0.8528,0.1533,0.7089,0.1921,0.3184,0.665,0.7747,0.566
6,0.7762,0.8014,0.7471,0.78,0.8602,0.8738,0.8365,0.8568,0.2171,0.6569,0.1987,0.4403,0.4708,0.76,0.81,0.7067,0.7633,0.845,0.8711,0.7882,0.8554,0.1933,0.6463,0.206,0.2692,0.6867,0.7729,0.5459
7,0.8033,0.8314,0.77,0.8086,0.8755,0.8984,0.8533,0.8633,0.18,0.7049,0.1701,0.4276,0.4459,0.7667,0.8067,0.71,0.7833,0.8401,0.8692,0.7825,0.8518,0.17,0.6946,0.2013,0.3082,0.6886,0.7648,0.5622
8,0.8152,0.8443,0.7871,0.8143,0.8985,0.9182,0.8735,0.8916,0.1714,0.7136,0.1392,0.4662,0.4077,0.7456,0.7933,0.6967,0.7467,0.8257,0.8567,0.7658,0.8368,0.15,0.7239,0.1755,0.3966,0.6791,0.7492,0.5803
9,0.8319,0.8457,0.8014,0.8486,0.9094,0.9164,0.8904,0.9093,0.18,0.7049,0.1521,0.4086,0.3836,0.75,0.7933,0.7033,0.7533,0.8294,0.858,0.7661,0.837,0.18,0.6727,0.1875,0.3556,0.686,0.7544,0.6645
