Disease,AUC (3),AUC (4),AUC (5),AUC (6),Overall AUC,Acc (3),Acc (4),Acc (5),Acc (6),Overall Acc,ES-AUC
Eczema,0.8590,0.8030,0.8836,0.7530,0.8424,0.7568,0.8173,0.8537,0.8028,0.8097,0.7100
Fungal,0.8746,0.8345,0.8417,0.8569,0.8604,0.8514,0.8269,0.7927,0.7606,0.8097,0.8099
Scabies,0.8938,0.8516,0.9179,0.8871,0.8905,0.9054,0.9423,0.9024,0.8873,0.9124,0.8299
Other,0.9750,0.9470,0.9483,0.8772,0.9533,0.9459,0.8558,0.8415,0.8451,0.8701,0.8595
