Disease,AUC (3),AUC (4),AUC (5),AUC (6),Overall AUC,Acc (3),Acc (4),Acc (5),Acc (6),Overall Acc,ES-AUC
Eczema,0.8886,0.8400,0.8499,0.7636,0.8513,0.7838,0.8462,0.8049,0.7746,0.8066,0.7483
Fungal,0.9033,0.8680,0.8220,0.8729,0.8751,0.8784,0.8750,0.7805,0.7606,0.8278,0.8024
Scabies,0.9266,0.9271,0.9726,0.8835,0.9328,0.9189,0.9231,0.9634,0.8451,0.9154,0.8472
Other,0.9667,0.9478,0.9447,0.8594,0.9466,0.9595,0.8750,0.8415,0.8592,0.8822,0.8525
