Disease,AUC (3),AUC (4),AUC (5),AUC (6),Overall AUC,Acc (3),Acc (4),Acc (5),Acc (6),Overall Acc,ES-AUC
Eczema,0.8245,0.8375,0.8671,0.8591,0.8477,0.7568,0.8077,0.8537,0.8732,0.8218,0.7965
Fungal,0.8708,0.9025,0.8182,0.8906,0.8801,0.8378,0.7885,0.7927,0.8592,0.8157,0.7972
Scabies,0.8565,0.8880,0.9190,0.8351,0.8811,0.8784,0.9423,0.9512,0.8873,0.9184,0.7899
Other,0.9452,0.9658,0.9447,0.8728,0.9423,0.8784,0.8846,0.8659,0.8732,0.8761,0.8579
