Disease,AUC (3),AUC (4),AUC (5),AUC (6),Overall AUC,Acc (3),Acc (4),Acc (5),Acc (6),Overall Acc,ES-AUC
Eczema,0.8558,0.8623,0.8872,0.8121,0.8665,0.7703,0.8269,0.8293,0.8028,0.8097,0.7949
Fungal,0.8785,0.8809,0.8568,0.9099,0.8875,0.8378,0.8365,0.7927,0.7746,0.8127,0.8304
Scabies,0.9141,0.9336,0.9214,0.9247,0.9219,0.8919,0.9519,0.9268,0.8732,0.9154,0.9014
Other,0.9298,0.9512,0.9332,0.9219,0.9370,0.9324,0.8462,0.8415,0.8169,0.8580,0.9006
