Disease,AUC (3),AUC (4),AUC (5),AUC (6),Overall AUC,Acc (3),Acc (4),Acc (5),Acc (6),Overall Acc,ES-AUC
Eczema,0.8598,0.8339,0.8843,0.6955,0.8433,0.7973,0.8077,0.8537,0.8169,0.8187,0.6943
Fungal,0.9388,0.8828,0.8235,0.8258,0.8838,0.8919,0.8077,0.8293,0.7183,0.8127,0.7526
Scabies,0.9435,0.9076,0.9702,0.8907,0.9418,0.8919,0.9231,0.9390,0.8451,0.9033,0.8443
Other,0.9512,0.9301,0.9361,0.9107,0.9409,0.8243,0.8462,0.8659,0.8028,0.8369,0.8909
