Disease,AUC (3),AUC (4),AUC (5),AUC (6),Overall AUC,Acc (3),Acc (4),Acc (5),Acc (6),Overall Acc,ES-AUC
Eczema,0.8446,0.8446,0.8441,0.7727,0.8434,0.7568,0.7885,0.7927,0.7746,0.7795,0.7856
Fungal,0.9081,0.8644,0.8288,0.8847,0.8812,0.8649,0.7885,0.7683,0.7887,0.8006,0.8013
Scabies,0.8847,0.8646,0.9369,0.8943,0.9054,0.8649,0.9327,0.9146,0.8732,0.9003,0.8200
Other,0.9119,0.9201,0.9749,0.9107,0.9354,0.8649,0.7981,0.8902,0.8592,0.8489,0.8481
