Disease,AUC (3),AUC (4),AUC (5),AUC (6),Overall AUC,Acc (3),Acc (4),Acc (5),Acc (6),Overall Acc,ES-AUC
Eczema,0.9183,0.8309,0.9088,0.7758,0.8737,0.8514,0.8077,0.8537,0.8310,0.8338,0.7159
Fungal,0.8622,0.8280,0.8470,0.9074,0.8746,0.8649,0.7885,0.8415,0.8028,0.8218,0.7813
Scabies,0.9458,0.9193,0.9655,0.8871,0.9355,0.9459,0.9519,0.9268,0.8873,0.9305,0.8467
Other,0.9714,0.9451,0.9705,0.9621,0.9625,0.9324,0.8558,0.8902,0.9155,0.8943,0.9301
