Disease,AUC (3),AUC (4),AUC (5),AUC (6),Overall AUC,Acc (3),Acc (4),Acc (5),Acc (6),Overall Acc,ES-AUC
Eczema,0.8990,0.8344,0.8728,0.8242,0.8696,0.7973,0.8173,0.8415,0.8592,0.8278,0.7812
Fungal,0.8804,0.8699,0.8379,0.8561,0.8779,0.8514,0.8365,0.8293,0.8169,0.8338,0.8187
Scabies,0.9028,0.9232,0.9536,0.9194,0.9269,0.9324,0.9712,0.9390,0.9296,0.9456,0.8728
Other,0.9917,0.9697,0.9713,0.9509,0.9722,0.9324,0.8942,0.9024,0.9437,0.9154,0.9310
