Disease,AUC (3),AUC (4),AUC (5),AUC (6),Overall AUC,Acc (3),Acc (4),Acc (5),Acc (6),Overall Acc,ES-AUC
Eczema,0.8349,0.8400,0.8851,0.7682,0.8466,0.7568,0.7885,0.8293,0.7887,0.7915,0.7458
Fungal,0.8670,0.8326,0.8000,0.8544,0.8565,0.8649,0.8173,0.7805,0.7606,0.8066,0.7836
Scabies,0.8418,0.8503,0.9190,0.9677,0.8901,0.8649,0.9423,0.9390,0.9155,0.9184,0.7450
Other,0.9750,0.9462,0.9547,0.9397,0.9573,0.8919,0.8558,0.8902,0.8873,0.8792,0.9127
