Disease,AUC (3),AUC (4),AUC (5),AUC (6),Overall AUC,Acc (3),Acc (4),Acc (5),Acc (6),Overall Acc,ES-AUC
Eczema,0.8710,0.8435,0.8807,0.7803,0.8498,0.7568,0.8269,0.8415,0.7746,0.8036,0.7535
Fungal,0.9273,0.8267,0.8667,0.8552,0.8805,0.8784,0.8365,0.8293,0.7746,0.8308,0.7726
Scabies,0.9073,0.8581,0.9381,0.9032,0.9054,0.9189,0.9327,0.9756,0.9014,0.9335,0.8352
Other,0.9798,0.9501,0.9547,0.8705,0.9540,0.9595,0.8846,0.9146,0.9014,0.9124,0.8564
