Disease,AUC (3),AUC (4),AUC (5),AUC (6),Overall AUC,Acc (3),Acc (4),Acc (5),Acc (6),Overall Acc,ES-AUC
Eczema,0.8333,0.8658,0.8427,0.8242,0.8513,0.7297,0.8173,0.8293,0.7887,0.7946,0.7970
Fungal,0.8670,0.8694,0.8212,0.9040,0.8783,0.8243,0.7788,0.7683,0.7887,0.7885,0.7963
Scabies,0.8757,0.7474,0.9500,0.8047,0.8602,0.9054,0.9423,0.9390,0.8169,0.9063,0.6754
Other,0.9679,0.9501,0.9432,0.9286,0.9506,0.9189,0.8269,0.8780,0.8732,0.8701,0.9078
