Disease,AUC (3),AUC (4),AUC (5),AUC (6),Overall AUC,Acc (3),Acc (4),Acc (5),Acc (6),Overall Acc,ES-AUC
Eczema,0.8213,0.8152,0.8319,0.7561,0.8208,0.7838,0.7692,0.8415,0.8592,0.8097,0.7586
Fungal,0.8861,0.8685,0.7992,0.8990,0.8751,0.8514,0.8077,0.7927,0.7746,0.8066,0.7831
Scabies,0.9706,0.9401,0.9226,0.9211,0.9453,0.8919,0.8942,0.9268,0.8451,0.8912,0.8774
Other,0.9417,0.9228,0.9425,0.9085,0.9375,0.8514,0.8173,0.8537,0.8169,0.8338,0.8904
