Disease,AUC (3),AUC (4),AUC (5),AUC (6),Overall AUC,Acc (3),Acc (4),Acc (5),Acc (6),Overall Acc,ES-AUC
Eczema,0.8846,0.8663,0.8786,0.7652,0.8625,0.7432,0.8558,0.8293,0.7887,0.8097,0.7569
Fungal,0.9081,0.8924,0.8356,0.8737,0.8881,0.8243,0.8462,0.8049,0.7887,0.8187,0.8139
Scabies,0.9503,0.9492,0.9500,0.9301,0.9519,0.8649,0.9423,0.9512,0.9014,0.9184,0.9261
Other,0.9857,0.9616,0.9684,0.9152,0.9599,0.8649,0.8942,0.8780,0.8732,0.8792,0.8882
