Disease,AUC (3),AUC (4),AUC (5),AUC (6),Overall AUC,Acc (3),Acc (4),Acc (5),Acc (6),Overall Acc,ES-AUC
Eczema,0.9006,0.8851,0.8937,0.8121,0.8839,0.7973,0.8173,0.7805,0.7606,0.7915,0.8039
Fungal,0.9234,0.8722,0.8326,0.8737,0.8803,0.8784,0.8173,0.7805,0.7887,0.8157,0.7963
Scabies,0.9288,0.8398,0.9095,0.8333,0.8960,0.9324,0.9615,0.9268,0.8732,0.9275,0.7690
Other,0.9762,0.9297,0.9382,0.9040,0.9406,0.9324,0.8269,0.8537,0.8451,0.8610,0.8665
