epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.691,0.6957,0.6971,0.68,0.7478,0.7444,0.7609,0.7274,0.15,0.728,0.1022,0.7031,0.6052,0.7744,0.8067,0.7067,0.81,0.8431,0.8677,0.787,0.8641,0.14,0.7375,0.1611,0.389,0.682,0.7653,0.4875
1,0.7257,0.7314,0.7286,0.7171,0.7919,0.801,0.7896,0.7728,0.1457,0.7302,0.0884,0.6941,0.5444,0.7744,0.8133,0.7133,0.7967,0.8479,0.8656,0.794,0.868,0.1133,0.7733,0.1193,0.4292,0.6901,0.7766,0.4836
2,0.7329,0.7486,0.7429,0.7071,0.8146,0.8285,0.8126,0.7925,0.1371,0.7513,0.0773,0.7144,0.5243,0.7756,0.8133,0.73,0.7833,0.8537,0.8737,0.8068,0.8651,0.1367,0.7602,0.1472,0.4777,0.7108,0.7916,0.474
3,0.7448,0.76,0.7314,0.7429,0.8195,0.8337,0.8098,0.8032,0.1514,0.7282,0.1141,0.5909,0.5171,0.7678,0.7767,0.73,0.7967,0.8533,0.8715,0.8082,0.8658,0.1467,0.7622,0.1661,0.5191,0.7138,0.7932,0.471
4,0.7543,0.7814,0.7343,0.7471,0.8325,0.8579,0.8093,0.8224,0.13,0.7702,0.1133,0.6043,0.4999,0.7656,0.7833,0.7133,0.8,0.8458,0.8644,0.7966,0.8634,0.1433,0.744,0.1435,0.5068,0.6932,0.7793,0.5093
5,0.7795,0.7857,0.77,0.7829,0.8514,0.8583,0.847,0.8405,0.1643,0.7188,0.1104,0.5825,0.4798,0.7633,0.7867,0.7033,0.8,0.8382,0.8494,0.7927,0.8591,0.1233,0.7613,0.1237,0.4962,0.6815,0.7779,0.5399
6,0.7976,0.82,0.7871,0.7857,0.8786,0.8852,0.8782,0.8657,0.1186,0.7909,0.0724,0.6726,0.4396,0.7533,0.7733,0.7033,0.7833,0.8376,0.8621,0.7919,0.8461,0.1233,0.7886,0.1639,0.5126,0.6848,0.7765,0.5429
7,0.8043,0.8,0.8,0.8129,0.884,0.884,0.8823,0.8793,0.1714,0.717,0.0996,0.6074,0.4292,0.7489,0.7767,0.6933,0.7767,0.8338,0.8572,0.7702,0.8611,0.1033,0.8038,0.1125,0.5876,0.674,0.7483,0.5731
8,0.8167,0.8371,0.8114,0.8014,0.8954,0.9072,0.8972,0.8775,0.1143,0.8,0.0551,0.7183,0.4112,0.7589,0.7767,0.7067,0.7933,0.8366,0.8624,0.7723,0.8633,0.11,0.8012,0.1185,0.5927,0.6871,0.749,0.5745
9,0.8438,0.8671,0.8414,0.8229,0.9145,0.9368,0.9066,0.8935,0.14,0.7627,0.0659,0.6564,0.374,0.75,0.77,0.7067,0.7733,0.8236,0.847,0.7695,0.8428,0.11,0.8036,0.1077,0.641,0.6902,0.7509,0.635
