epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6933,0.7129,0.6929,0.6743,0.7509,0.7561,0.7584,0.7379,0.0657,0.853,0.0563,0.8336,0.6063,0.7689,0.81,0.7167,0.78,0.8385,0.864,0.809,0.8377,0.1,0.7931,0.0922,0.4931,0.6962,0.7942,0.4989
1,0.7148,0.7386,0.6986,0.7071,0.7791,0.7989,0.7784,0.7534,0.1129,0.7787,0.0717,0.7252,0.5601,0.7756,0.83,0.72,0.7767,0.8437,0.8767,0.8077,0.8444,0.08,0.8182,0.082,0.4882,0.698,0.7887,0.4962
2,0.7267,0.7329,0.7214,0.7257,0.8017,0.8162,0.7928,0.7905,0.1086,0.7871,0.0558,0.8369,0.5335,0.7789,0.8333,0.7333,0.77,0.8463,0.8793,0.8132,0.8358,0.1,0.7917,0.0904,0.4148,0.7024,0.7861,0.4872
3,0.7538,0.7857,0.7429,0.7329,0.8218,0.8509,0.8117,0.7944,0.1257,0.7732,0.0987,0.6216,0.5167,0.7789,0.8133,0.74,0.7833,0.851,0.8821,0.8144,0.8491,0.1067,0.8095,0.1007,0.6044,0.7227,0.7956,0.4734
4,0.7667,0.7943,0.7586,0.7471,0.8363,0.8608,0.8323,0.8074,0.1329,0.7609,0.0941,0.6123,0.4983,0.7767,0.83,0.73,0.77,0.8442,0.8827,0.8062,0.8317,0.1067,0.7935,0.1129,0.4599,0.7018,0.7752,0.5289
5,0.7757,0.78,0.7871,0.76,0.8491,0.867,0.8479,0.8252,0.1143,0.7922,0.0701,0.9099,0.4828,0.7744,0.8233,0.7367,0.7633,0.8463,0.8771,0.807,0.8418,0.12,0.7736,0.1156,0.4701,0.7055,0.7875,0.5198
6,0.8,0.82,0.8,0.78,0.8694,0.8793,0.861,0.8623,0.1286,0.7739,0.067,0.6771,0.4516,0.7756,0.8133,0.75,0.7633,0.8294,0.8754,0.7867,0.816,0.1033,0.8025,0.0691,0.638,0.7211,0.7525,0.5746
7,0.8081,0.83,0.8014,0.7929,0.8837,0.8966,0.8762,0.8731,0.1271,0.7735,0.0644,0.7598,0.4352,0.7611,0.8033,0.7167,0.7633,0.8387,0.88,0.7888,0.834,0.1133,0.7806,0.1119,0.5077,0.699,0.7653,0.5825
8,0.8176,0.8371,0.8157,0.8,0.8939,0.9046,0.8932,0.8772,0.1343,0.7679,0.0695,0.651,0.4165,0.7556,0.8,0.72,0.7467,0.8283,0.8855,0.7835,0.8048,0.1067,0.8222,0.1312,0.6098,0.6939,0.736,0.6279
9,0.8271,0.8514,0.8229,0.8071,0.9054,0.9152,0.9023,0.8949,0.14,0.7598,0.0821,0.5802,0.3926,0.7689,0.8067,0.73,0.77,0.8395,0.8789,0.7918,0.8392,0.1033,0.8,0.0873,0.5825,0.7134,0.772,0.6473
