epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6743,0.6957,0.6657,0.6614,0.7299,0.7457,0.7227,0.7199,0.0843,0.8333,0.064,0.7897,0.6085,0.7667,0.7833,0.72,0.7967,0.8396,0.8593,0.7891,0.857,0.13,0.7784,0.1527,0.5202,0.7012,0.7719,0.5239
1,0.7043,0.74,0.71,0.6629,0.7757,0.815,0.7795,0.7294,0.0586,0.8845,0.0799,0.7498,0.5619,0.7711,0.8033,0.72,0.79,0.8472,0.8692,0.7949,0.8662,0.1433,0.7471,0.1563,0.4627,0.6996,0.7749,0.4777
2,0.7248,0.7529,0.7071,0.7143,0.7972,0.8177,0.7806,0.7809,0.1257,0.7738,0.1134,0.6319,0.54,0.7844,0.81,0.7367,0.8067,0.8469,0.8661,0.7986,0.8629,0.1133,0.7748,0.0922,0.4931,0.716,0.7815,0.4866
3,0.7476,0.77,0.7229,0.75,0.8189,0.8394,0.8032,0.8037,0.1414,0.7525,0.1296,0.5792,0.5192,0.7767,0.81,0.7233,0.7967,0.8471,0.8794,0.7968,0.8538,0.1733,0.6848,0.1803,0.3161,0.7018,0.7777,0.4845
4,0.77,0.8057,0.7414,0.7629,0.8415,0.8631,0.8314,0.8172,0.1514,0.733,0.1357,0.5134,0.4946,0.7733,0.8133,0.7233,0.7833,0.8488,0.8834,0.7931,0.8537,0.1633,0.7066,0.1766,0.3526,0.703,0.775,0.4946
5,0.7924,0.8286,0.7714,0.7771,0.8597,0.8828,0.8432,0.8446,0.1343,0.7626,0.1148,0.5199,0.4667,0.7622,0.8067,0.71,0.77,0.8445,0.8792,0.7844,0.8526,0.1233,0.7673,0.1392,0.4533,0.6901,0.7657,0.5228
6,0.7933,0.8329,0.7829,0.7643,0.8787,0.9072,0.866,0.8541,0.1271,0.785,0.1059,0.5884,0.4402,0.7733,0.8033,0.71,0.8067,0.8453,0.8757,0.7907,0.8565,0.16,0.6943,0.1685,0.3134,0.6864,0.7712,0.5606
7,0.8052,0.8329,0.8014,0.7814,0.883,0.9103,0.8769,0.8569,0.1071,0.8021,0.0978,0.8818,0.4302,0.7667,0.81,0.71,0.78,0.8265,0.8703,0.759,0.8307,0.2,0.6825,0.2563,0.3444,0.6886,0.741,0.5572
8,0.8314,0.8429,0.8229,0.8286,0.9077,0.9194,0.902,0.899,0.1214,0.7886,0.0392,0.7877,0.3842,0.7489,0.8033,0.6867,0.7567,0.831,0.8856,0.7562,0.8328,0.1433,0.7133,0.1749,0.2873,0.666,0.7346,0.6538
9,0.8443,0.8686,0.8229,0.8414,0.9171,0.9355,0.897,0.915,0.12,0.79,0.0551,0.7161,0.369,0.7622,0.8167,0.7067,0.7633,0.8197,0.8765,0.7566,0.812,0.13,0.7706,0.1745,0.4355,0.686,0.7269,0.6641
