epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.679,0.7071,0.6614,0.6686,0.7282,0.7518,0.7235,0.7043,0.06,0.8739,0.0497,0.8788,0.6091,0.74,0.75,0.71,0.76,0.8281,0.8409,0.7985,0.8603,0.13,0.7679,0.1217,0.5284,0.6981,0.7706,0.4995
1,0.7143,0.7243,0.71,0.7086,0.7844,0.7984,0.7787,0.7682,0.0971,0.8116,0.048,0.8312,0.5469,0.7533,0.75,0.71,0.8,0.849,0.8539,0.8195,0.8852,0.09,0.8269,0.0844,0.7045,0.689,0.793,0.4774
2,0.7267,0.7429,0.7114,0.7257,0.8006,0.821,0.7959,0.7788,0.0714,0.8641,0.0375,0.8583,0.5381,0.7633,0.74,0.76,0.79,0.8566,0.8653,0.8247,0.8916,0.13,0.7636,0.1611,0.6074,0.7247,0.7964,0.4636
3,0.7419,0.7543,0.7257,0.7457,0.8191,0.8212,0.8169,0.8128,0.0886,0.8306,0.0455,0.8127,0.5126,0.77,0.78,0.73,0.8,0.8527,0.8592,0.8308,0.8743,0.1,0.8333,0.1085,0.6263,0.713,0.8121,0.4751
