epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.5095,0.5158,0.5186,0.4943,0.5143,0.5248,0.5126,0.4837,0.096,0.8304,0.1032,0.8156,3.1872,0.5378,0.4967,0.6333,0.4833,0.5589,0.5659,0.5438,0.4533,1.0,0.0,1.0,0.0,0.4515,0.4956,0.8649
1,0.5549,0.5358,0.578,0.5508,0.5633,0.5431,0.5612,0.5472,0.141,0.7698,0.1496,0.7724,1.0904,0.5433,0.48,0.6333,0.5167,0.5255,0.5244,0.6187,0.5984,0.0,1.0,0.0,1.0,0.4605,0.4502,0.8694
2,0.5883,0.6409,0.5903,0.5336,0.6269,0.6778,0.6067,0.5642,0.1568,0.7394,0.2001,0.611,0.9286,0.7467,0.7633,0.7333,0.7433,0.8074,0.8103,0.7737,0.8077,0.11,0.8146,0.0783,0.7466,0.7226,0.7787,1.0171
3,0.604,0.5894,0.6109,0.6117,0.6638,0.6502,0.6446,0.6739,0.1645,0.7344,0.1432,0.7301,0.8533,0.6211,0.7467,0.6333,0.4833,0.6529,0.8354,0.7646,0.8192,1.0,0.0,1.0,0.0,0.4869,0.447,0.8
4,0.6326,0.6314,0.627,0.6395,0.6776,0.6563,0.6755,0.6773,0.1755,0.7122,0.17,0.6444,0.7696,0.4611,0.48,0.5733,0.33,0.4272,0.4,0.3782,0.3072,0.5133,0.4867,0.6774,0.3226,0.3653,0.3572,0.7104
5,0.6498,0.6338,0.6461,0.6695,0.7051,0.684,0.6956,0.7143,0.1496,0.7477,0.1462,0.662,0.72,0.4867,0.5333,0.4433,0.4833,0.6302,0.6527,0.6268,0.6325,0.0767,0.0,0.1211,0.0,0.4451,0.6129,0.8221
6,0.6594,0.639,0.6638,0.6753,0.7164,0.6891,0.717,0.7211,0.1582,0.7329,0.1345,0.6715,0.7117,0.7444,0.77,0.7133,0.75,0.7967,0.8279,0.7916,0.8279,0.0533,0.8919,0.073,0.8966,0.7008,0.7463,0.5158
7,0.6269,0.6461,0.5923,0.6423,0.6942,0.6912,0.6754,0.6832,0.2269,0.6499,0.2836,0.5032,0.7022,0.7211,0.72,0.7067,0.7367,0.8221,0.8533,0.795,0.8216,0.1733,0.7547,0.2103,0.5793,0.6994,0.7764,0.6496
8,0.6555,0.6538,0.6633,0.6495,0.719,0.7242,0.7161,0.6995,0.1296,0.7722,0.0974,0.7815,0.6814,0.6289,0.48,0.6333,0.7733,0.8073,0.8453,0.8056,0.8224,0.6633,0.3367,0.9517,0.0483,0.4846,0.7654,0.594
9,0.6622,0.6791,0.6447,0.6629,0.7175,0.7173,0.7054,0.7081,0.1562,0.7348,0.1615,0.6236,0.6923,0.5844,0.5667,0.56,0.6267,0.7201,0.788,0.771,0.7865,0.1533,0.2333,0.2133,0.0,0.5389,0.6075,0.7002
