m,Mean_AUC_Gap,Max_AUC_Gap
0.0,0.02074249651061213,0.09810111714635072
0.1,0.02559277043287784,0.0987172311836475
0.2,0.02141460284735009,0.07256274861766154
0.3,0.0189325258405014,0.0383307245772313
0.4,0.02238951031111715,0.07099450236286953
0.5,0.0235573392831027,0.10150742484342279
0.6,0.021389449098882057,0.0838251652066967
0.7,0.02262389620673973,0.06676835048105434
0.8,0.02391634214694757,0.04865882525388987
1.0,0.018903091146627138,0.08092466844518575
