epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.671,0.6671,0.69,0.6557,0.7334,0.7311,0.7541,0.7065,0.1457,0.7251,0.1271,0.7631,0.6054,0.7811,0.8,0.7233,0.82,0.8516,0.8652,0.7972,0.8702,0.13,0.7417,0.1379,0.3103,0.7002,0.7838,0.4885
1,0.7195,0.7443,0.7086,0.7057,0.7893,0.8164,0.7781,0.7576,0.1786,0.6875,0.1585,0.5139,0.5514,0.7811,0.8167,0.73,0.7967,0.8514,0.8675,0.8036,0.8639,0.1567,0.7006,0.163,0.2529,0.7087,0.791,0.4884
2,0.73,0.7557,0.7029,0.7314,0.814,0.8353,0.7848,0.8072,0.1929,0.6786,0.1966,0.468,0.5275,0.7989,0.82,0.74,0.8367,0.8573,0.8798,0.7937,0.8726,0.1867,0.6989,0.2191,0.3486,0.7147,0.7784,0.4812
3,0.7595,0.7829,0.7414,0.7543,0.8303,0.8447,0.8177,0.809,0.2057,0.6596,0.1801,0.4476,0.5115,0.7833,0.82,0.7267,0.8033,0.8493,0.875,0.7915,0.8539,0.1333,0.7468,0.1514,0.3338,0.7036,0.7805,0.495
4,0.7648,0.77,0.7586,0.7657,0.8409,0.8534,0.8262,0.829,0.2114,0.6644,0.1694,0.4973,0.493,0.7767,0.8067,0.73,0.7933,0.8488,0.8705,0.7946,0.8571,0.2033,0.6391,0.2022,0.2585,0.7104,0.7829,0.5065
5,0.7829,0.8143,0.7643,0.77,0.8638,0.8901,0.8414,0.8453,0.2357,0.6224,0.19,0.4107,0.461,0.7667,0.7967,0.72,0.7833,0.8472,0.8873,0.7882,0.8448,0.18,0.686,0.2034,0.3218,0.7012,0.7691,0.5123
6,0.7924,0.8214,0.7786,0.7771,0.8717,0.8872,0.8506,0.8626,0.1886,0.6909,0.1403,0.5099,0.4522,0.7667,0.8133,0.7133,0.7733,0.8481,0.8785,0.7857,0.853,0.1933,0.6506,0.2177,0.2275,0.6928,0.7726,0.5571
7,0.8138,0.8329,0.7857,0.8229,0.8895,0.9031,0.8651,0.8885,0.1957,0.6738,0.1699,0.3576,0.4221,0.7622,0.7933,0.7233,0.77,0.8315,0.8612,0.7666,0.8415,0.1967,0.6943,0.2254,0.4234,0.7072,0.7529,0.6234
8,0.8138,0.8314,0.8129,0.7971,0.8871,0.8895,0.8926,0.869,0.1971,0.6783,0.125,0.5266,0.43,0.7589,0.79,0.7233,0.7633,0.8349,0.8606,0.7861,0.8344,0.2067,0.6536,0.2119,0.3526,0.7085,0.7767,0.6073
9,0.8305,0.8414,0.8171,0.8329,0.9041,0.9069,0.8919,0.9049,0.16,0.7282,0.0915,0.5644,0.4005,0.7256,0.7767,0.69,0.71,0.8119,0.8589,0.7568,0.7909,0.2533,0.6021,0.3055,0.2851,0.6583,0.7229,0.6091
