epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6914,0.7071,0.6986,0.6686,0.7581,0.7697,0.7659,0.7219,0.1771,0.6812,0.1297,0.5934,0.5899,0.7611,0.8033,0.7067,0.7733,0.8503,0.869,0.8142,0.8525,0.1367,0.753,0.1627,0.4407,0.6864,0.8044,0.4797
1,0.7243,0.7543,0.7157,0.7029,0.7921,0.8232,0.7883,0.7462,0.1871,0.6903,0.1776,0.5048,0.5478,0.7678,0.8133,0.7067,0.7833,0.8576,0.8777,0.8103,0.8684,0.1333,0.7297,0.147,0.2969,0.6842,0.7954,0.4889
2,0.7333,0.7557,0.7214,0.7229,0.8118,0.839,0.8012,0.7743,0.2171,0.649,0.2047,0.4461,0.5302,0.7578,0.8,0.7067,0.7667,0.8504,0.8674,0.8024,0.8613,0.17,0.6688,0.1743,0.2626,0.6875,0.7904,0.5094
3,0.7524,0.7914,0.7271,0.7386,0.8305,0.8568,0.8163,0.7973,0.2243,0.634,0.2172,0.3882,0.5062,0.76,0.79,0.7133,0.7767,0.8592,0.8762,0.8098,0.8731,0.1533,0.6933,0.1539,0.2639,0.6951,0.7955,0.5192
4,0.7681,0.78,0.7514,0.7729,0.8438,0.8546,0.8317,0.8325,0.22,0.6419,0.1832,0.4381,0.4879,0.7722,0.7967,0.7367,0.7833,0.8529,0.8741,0.8034,0.8614,0.1667,0.7041,0.1483,0.4377,0.721,0.7904,0.5008
5,0.7852,0.8257,0.7514,0.7786,0.8652,0.8983,0.8396,0.8395,0.2257,0.6308,0.2198,0.3185,0.4566,0.75,0.8,0.7067,0.7433,0.8334,0.8515,0.7915,0.8297,0.16,0.6923,0.1685,0.3134,0.6818,0.7836,0.5598
6,0.81,0.8429,0.8143,0.7729,0.8877,0.9048,0.886,0.8624,0.1714,0.7129,0.1284,0.4692,0.422,0.7678,0.8033,0.73,0.77,0.8332,0.8604,0.7892,0.8275,0.1733,0.6886,0.1675,0.3647,0.7138,0.7737,0.6252
7,0.8138,0.8443,0.8029,0.7943,0.8954,0.915,0.8947,0.866,0.1957,0.6829,0.1564,0.4087,0.4112,0.7689,0.7967,0.7467,0.7633,0.8336,0.8624,0.7878,0.8314,0.19,0.6868,0.1745,0.4355,0.7284,0.7741,0.5733
8,0.8262,0.8486,0.8129,0.8171,0.9065,0.9194,0.8974,0.8968,0.1914,0.6802,0.1337,0.4144,0.3857,0.7756,0.7967,0.75,0.78,0.8364,0.8659,0.7811,0.8381,0.2267,0.6617,0.2307,0.41,0.7378,0.7698,0.6127
9,0.8452,0.8686,0.8086,0.8586,0.9222,0.9417,0.9006,0.921,0.2171,0.6561,0.1945,0.2937,0.3607,0.74,0.7733,0.71,0.7367,0.814,0.8485,0.7642,0.8048,0.25,0.6637,0.3147,0.4231,0.6938,0.7444,0.6601
