epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6829,0.6843,0.69,0.6743,0.7286,0.7478,0.7391,0.6931,0.0886,0.8149,0.0708,0.8893,0.6131,0.7656,0.8033,0.6867,0.8067,0.8445,0.8559,0.8005,0.8627,0.1233,0.7466,0.1652,0.2731,0.6612,0.7867,0.4838
1,0.7086,0.7286,0.7057,0.6914,0.7789,0.7879,0.7833,0.7555,0.14,0.7337,0.0961,0.6465,0.558,0.78,0.81,0.7467,0.7833,0.845,0.8673,0.7905,0.8617,0.1233,0.7798,0.1044,0.5745,0.7313,0.7728,16.3261
2,0.7314,0.7543,0.7271,0.7129,0.807,0.8233,0.8134,0.7732,0.1471,0.7325,0.1057,0.7263,0.528,0.7833,0.8467,0.7167,0.7867,0.8556,0.8815,0.8007,0.8665,0.0967,0.7943,0.1188,0.2742,0.6912,0.7837,0.4968
3,0.7514,0.7729,0.7471,0.7343,0.8245,0.8426,0.8109,0.8144,0.12,0.7772,0.0732,0.7804,0.5095,0.77,0.8033,0.73,0.7767,0.854,0.89,0.7963,0.8588,0.1267,0.7923,0.1441,0.5717,0.713,0.7775,12.1064
4,0.7724,0.8029,0.7571,0.7571,0.8445,0.8629,0.8297,0.8294,0.14,0.7562,0.1168,0.5645,0.4856,0.7811,0.8333,0.72,0.79,0.8508,0.8824,0.7938,0.8562,0.1267,0.7595,0.153,0.3526,0.696,0.7776,1.508
5,0.7767,0.7943,0.7729,0.7629,0.8512,0.8585,0.851,0.8347,0.1129,0.7948,0.0552,0.7459,0.4747,0.7833,0.8133,0.7267,0.81,0.8498,0.8803,0.7917,0.8577,0.1267,0.7711,0.1354,0.4863,0.7036,0.775,0.5168
6,0.7886,0.8171,0.7843,0.7643,0.8684,0.8857,0.8635,0.8488,0.1243,0.7786,0.0711,0.6962,0.4522,0.7589,0.7933,0.7033,0.78,0.829,0.8629,0.7706,0.8362,0.1333,0.7661,0.1734,0.4552,0.683,0.7541,1728.42
7,0.8071,0.8257,0.7957,0.8,0.8863,0.8978,0.8777,0.8739,0.1414,0.7543,0.0913,0.587,0.4241,0.7556,0.7767,0.7233,0.7667,0.8332,0.8612,0.777,0.8485,0.0933,0.84,0.0847,0.7259,0.7098,0.7577,21.4883
8,0.8205,0.8414,0.81,0.81,0.8949,0.9132,0.885,0.8762,0.1429,0.7543,0.0912,0.5659,0.409,0.75,0.7967,0.68,0.7733,0.825,0.8663,0.7527,0.8425,0.1167,0.7866,0.1734,0.4552,0.6579,0.7294,1079.721
9,0.8286,0.8486,0.82,0.8171,0.9023,0.9161,0.9002,0.8824,0.1243,0.7836,0.0641,0.6599,0.3988,0.75,0.7833,0.69,0.7767,0.8251,0.8593,0.7633,0.8371,0.1133,0.7964,0.1451,0.544,0.6696,0.7446,0.6392
