epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6705,0.6814,0.6586,0.6714,0.7279,0.7453,0.7188,0.715,0.0686,0.8584,0.0303,0.8913,0.617,0.7722,0.7967,0.72,0.8,0.839,0.853,0.809,0.8507,0.1167,0.7812,0.142,0.4215,0.6992,0.7947,0.4827
1,0.7143,0.7114,0.7271,0.7043,0.7861,0.7973,0.7888,0.7648,0.1157,0.7781,0.0809,0.8816,0.5525,0.7644,0.7933,0.7167,0.7833,0.8483,0.8673,0.8132,0.8578,0.09,0.7907,0.0677,0.3793,0.6978,0.7975,0.5052
2,0.7314,0.7457,0.7229,0.7257,0.8091,0.8193,0.8121,0.7849,0.1143,0.7872,0.0699,0.7357,0.5319,0.7589,0.8033,0.71,0.7633,0.8548,0.8784,0.8127,0.8617,0.11,0.7692,0.0922,0.4931,0.6913,0.797,0.4887
3,0.7471,0.7786,0.7186,0.7443,0.8175,0.8371,0.7877,0.8189,0.1229,0.7719,0.115,0.5769,0.5131,0.7789,0.81,0.7433,0.7833,0.8535,0.8672,0.8191,0.8584,0.12,0.7707,0.091,0.5449,0.7272,0.8105,0.4792
