epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6786,0.6857,0.6729,0.6771,0.7417,0.7376,0.7509,0.717,0.1329,0.7304,0.0883,0.7062,0.6034,0.78,0.8033,0.7233,0.8133,0.8485,0.8596,0.8082,0.8575,0.16,0.7019,0.1834,0.2529,0.7006,0.8001,0.479
1,0.729,0.7471,0.7271,0.7129,0.797,0.8093,0.8048,0.7574,0.1786,0.677,0.1384,0.6473,0.5379,0.7878,0.8067,0.74,0.8167,0.8575,0.8689,0.8196,0.8579,0.1533,0.7229,0.1627,0.3372,0.7191,0.8168,0.4566
2,0.741,0.7686,0.71,0.7443,0.8126,0.8365,0.7855,0.7933,0.23,0.6194,0.215,0.4125,0.528,0.7789,0.8067,0.7367,0.7933,0.8609,0.881,0.8169,0.8621,0.18,0.6687,0.1812,0.2334,0.7182,0.8083,0.4725
3,0.7552,0.78,0.7471,0.7386,0.8327,0.8585,0.8123,0.8088,0.2129,0.6559,0.1775,0.4732,0.503,0.7711,0.8033,0.72,0.79,0.8563,0.8722,0.8073,0.8622,0.15,0.7,0.1359,0.3205,0.6996,0.7997,22.8542
4,0.7757,0.7957,0.7657,0.7657,0.8505,0.8549,0.8472,0.836,0.23,0.639,0.1937,0.4251,0.4808,0.77,0.8133,0.72,0.7767,0.8528,0.8758,0.808,0.8473,0.12,0.7391,0.0972,0.3319,0.7,0.7946,32.1471
5,0.7771,0.8086,0.7486,0.7743,0.8663,0.8814,0.8546,0.8491,0.1929,0.686,0.1919,0.4181,0.4611,0.7644,0.78,0.7167,0.7967,0.8458,0.8606,0.8129,0.8423,0.1633,0.7232,0.21,0.3582,0.6978,0.8046,26.2954
6,0.8014,0.8343,0.7814,0.7886,0.8851,0.9061,0.8768,0.8603,0.1657,0.7232,0.1465,0.4536,0.43,0.7689,0.7933,0.7133,0.8,0.8447,0.8646,0.8061,0.8408,0.1567,0.7202,0.2013,0.3082,0.692,0.7951,9.5805
7,0.8171,0.8443,0.8143,0.7929,0.8917,0.9009,0.8831,0.8779,0.1914,0.6869,0.1319,0.4565,0.4245,0.7767,0.82,0.7133,0.7967,0.8466,0.8604,0.8102,0.8428,0.1533,0.7195,0.1831,0.3287,0.6893,0.8033,0.5904
8,0.8348,0.8629,0.8257,0.8157,0.9126,0.9281,0.9054,0.8947,0.18,0.7028,0.1183,0.4647,0.3816,0.7656,0.8167,0.7133,0.7667,0.8442,0.8598,0.8039,0.8398,0.1167,0.7535,0.1086,0.3711,0.6932,0.7962,18.0338
9,0.8429,0.87,0.8314,0.8271,0.9187,0.94,0.907,0.9019,0.2229,0.6564,0.1654,0.3831,0.3721,0.7567,0.79,0.6967,0.7833,0.831,0.8461,0.7968,0.8285,0.1033,0.8,0.1373,0.4606,0.6756,0.79,0.7169
