epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6876,0.7029,0.6957,0.6643,0.7465,0.7693,0.7503,0.7231,0.0729,0.8654,0.0828,0.7707,0.6019,0.7678,0.8067,0.71,0.7867,0.845,0.8767,0.8082,0.8461,0.0667,0.8601,0.0818,0.6069,0.6882,0.79,0.5078
1,0.7233,0.7414,0.7286,0.7,0.7938,0.8226,0.797,0.7551,0.13,0.7472,0.0858,0.6539,0.5387,0.7689,0.8167,0.7133,0.7767,0.8546,0.8891,0.8083,0.86,0.07,0.8409,0.0734,0.554,0.692,0.7869,0.5098
2,0.7438,0.7771,0.7257,0.7286,0.8236,0.8478,0.8153,0.8048,0.0886,0.8287,0.0696,0.7098,0.5126,0.7856,0.83,0.7233,0.8033,0.8576,0.8959,0.8067,0.8584,0.1,0.8137,0.1237,0.4962,0.6986,0.7867,0.4874
3,0.7571,0.7714,0.7429,0.7571,0.8332,0.8481,0.821,0.8279,0.0943,0.8263,0.0518,0.7898,0.4994,0.7756,0.8233,0.72,0.7833,0.8575,0.8932,0.8021,0.8626,0.1167,0.7785,0.1338,0.4339,0.698,0.7823,0.4932
4,0.7657,0.7657,0.7686,0.7629,0.8461,0.8542,0.8363,0.8409,0.1143,0.7949,0.0477,0.8392,0.4851,0.7811,0.82,0.7267,0.7967,0.8588,0.8885,0.8104,0.8646,0.1,0.7945,0.0894,0.4825,0.7044,0.7923,0.4923
5,0.7748,0.8071,0.75,0.7671,0.8612,0.8734,0.8551,0.8446,0.1543,0.7346,0.1457,0.491,0.4593,0.7689,0.8233,0.6967,0.7867,0.8476,0.886,0.7926,0.8468,0.12,0.7677,0.1584,0.3777,0.6718,0.7747,0.5959
6,0.8052,0.8343,0.7886,0.7929,0.8725,0.8982,0.8533,0.8601,0.1429,0.7561,0.113,0.5344,0.4407,0.7622,0.8133,0.6967,0.7767,0.8456,0.88,0.794,0.8468,0.1033,0.7919,0.1311,0.4231,0.6739,0.7777,0.5565
7,0.8276,0.8386,0.8086,0.8357,0.8993,0.9066,0.8899,0.8947,0.1257,0.7822,0.0691,0.6656,0.3986,0.7633,0.8133,0.6833,0.7933,0.8478,0.8924,0.784,0.8514,0.11,0.7871,0.1638,0.3996,0.658,0.7624,0.5877
8,0.8371,0.8514,0.8371,0.8229,0.913,0.9192,0.9046,0.9149,0.0971,0.8201,0.0617,0.6479,0.3718,0.76,0.7967,0.7033,0.78,0.8297,0.8628,0.7773,0.8355,0.1,0.8246,0.1389,0.5635,0.6826,0.7603,0.5961
9,0.851,0.86,0.8457,0.8471,0.9233,0.931,0.9163,0.9183,0.1057,0.8186,0.0288,0.827,0.3581,0.7556,0.79,0.7133,0.7633,0.8414,0.8787,0.7901,0.8402,0.0933,0.7971,0.0649,0.5801,0.6967,0.772,0.7258
