epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6905,0.7129,0.6757,0.6829,0.7467,0.771,0.7505,0.7111,0.1029,0.7592,0.056,0.7167,0.6152,0.7656,0.78,0.7067,0.81,0.8298,0.8291,0.7975,0.8534,0.12,0.7692,0.1627,0.3372,0.6849,0.7853,2.0053
1,0.7286,0.7329,0.7157,0.7371,0.7948,0.8006,0.7849,0.7882,0.1114,0.7827,0.0563,0.7682,0.5472,0.7611,0.81,0.6967,0.7767,0.8301,0.8456,0.7851,0.8512,0.0933,0.8042,0.1103,0.4487,0.6742,0.7675,1.4338
2,0.731,0.7371,0.7414,0.7143,0.8071,0.8231,0.8083,0.7834,0.1329,0.7533,0.0807,0.7682,0.5365,0.7822,0.7933,0.7433,0.81,0.8391,0.856,0.795,0.8541,0.1433,0.7624,0.1436,0.5355,0.7258,0.7798,1.2937
3,0.7586,0.7971,0.76,0.7186,0.8323,0.8593,0.8299,0.7972,0.12,0.7846,0.0961,0.6791,0.5066,0.7756,0.79,0.7233,0.8133,0.841,0.8612,0.7871,0.8671,0.14,0.76,0.1574,0.4909,0.7022,0.7644,0.5203
4,0.7743,0.7943,0.7686,0.76,0.8542,0.8775,0.8389,0.8398,0.1171,0.7796,0.0587,0.7053,0.481,0.7678,0.7833,0.7233,0.7967,0.846,0.8665,0.7939,0.8706,0.1267,0.7853,0.1527,0.5202,0.7051,0.7712,0.5152
5,0.77,0.7843,0.7614,0.7643,0.8537,0.8746,0.846,0.8348,0.1157,0.7896,0.0463,0.8137,0.4787,0.7644,0.7833,0.7133,0.7967,0.8322,0.8618,0.7788,0.8501,0.1133,0.7952,0.1508,0.465,0.6935,0.7559,3.2343
6,0.8057,0.8171,0.8014,0.7986,0.8784,0.874,0.8769,0.8788,0.1586,0.7204,0.0894,0.5595,0.4418,0.7444,0.75,0.7167,0.7667,0.8344,0.8549,0.7907,0.851,0.1267,0.7968,0.1313,0.6476,0.7053,0.772,0.6194
7,0.8138,0.8514,0.7857,0.8043,0.8887,0.9127,0.869,0.8758,0.1314,0.7617,0.0856,0.6127,0.4271,0.74,0.7633,0.69,0.7667,0.8253,0.8416,0.7834,0.84,0.1267,0.7901,0.1575,0.5876,0.6727,0.7692,0.6541
8,0.81,0.8171,0.81,0.8029,0.8959,0.8994,0.8902,0.8922,0.1429,0.7519,0.0676,0.706,0.415,0.7433,0.7533,0.71,0.7667,0.8289,0.8469,0.7932,0.8362,0.13,0.7937,0.1495,0.6175,0.6969,0.7812,0.6275
9,0.8376,0.8657,0.8157,0.8314,0.909,0.9193,0.8936,0.9038,0.1357,0.7666,0.1002,0.5062,0.3951,0.7467,0.75,0.7267,0.7633,0.8291,0.8404,0.7942,0.8457,0.1167,0.8098,0.089,0.7422,0.7179,0.78,0.6596
