epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.691,0.7214,0.6643,0.6871,0.7455,0.771,0.7283,0.7147,0.1829,0.6474,0.1801,0.4287,0.6008,0.7711,0.7867,0.7233,0.8033,0.8428,0.8526,0.7934,0.8579,0.1567,0.7251,0.1668,0.4267,0.7039,0.7845,0.4908
1,0.7176,0.7571,0.6971,0.6986,0.7903,0.8123,0.7768,0.7571,0.2,0.6651,0.2137,0.4273,0.5522,0.7822,0.8067,0.7467,0.7933,0.8507,0.8589,0.8072,0.8635,0.1467,0.7215,0.1172,0.4138,0.7303,0.7991,0.4753
2,0.7505,0.77,0.7429,0.7386,0.8184,0.8341,0.807,0.7983,0.1914,0.6748,0.1503,0.5062,0.5202,0.7911,0.8133,0.7367,0.8233,0.8525,0.8622,0.8104,0.8675,0.15,0.7273,0.1627,0.3372,0.7134,0.7991,0.4906
3,0.75,0.77,0.7314,0.7486,0.8296,0.8365,0.818,0.8178,0.2357,0.6233,0.2254,0.3841,0.5074,0.7844,0.82,0.73,0.8033,0.855,0.8674,0.812,0.8651,0.1767,0.6901,0.1921,0.3184,0.7074,0.8025,0.4826
4,0.7662,0.7843,0.7614,0.7529,0.8427,0.8543,0.8418,0.8165,0.2014,0.6619,0.1412,0.5128,0.4948,0.7822,0.8233,0.7233,0.8,0.8565,0.8712,0.8133,0.8667,0.18,0.6879,0.2103,0.2989,0.6998,0.8019,0.484
5,0.7857,0.8086,0.7771,0.7714,0.8659,0.8896,0.8567,0.8398,0.2214,0.6362,0.1619,0.4343,0.4586,0.75,0.7767,0.7267,0.7467,0.8498,0.871,0.8162,0.8513,0.1833,0.7477,0.2179,0.5641,0.712,0.8045,0.5177
6,0.7948,0.8057,0.7929,0.7857,0.8731,0.8792,0.8665,0.8623,0.2143,0.6599,0.1529,0.4789,0.4517,0.7756,0.8,0.7367,0.79,0.8529,0.8659,0.807,0.8693,0.1433,0.7425,0.1442,0.4335,0.7196,0.7933,0.5298
7,0.7971,0.8314,0.7814,0.7786,0.88,0.9012,0.8647,0.8577,0.19,0.6885,0.1448,0.4877,0.4391,0.7689,0.7867,0.73,0.79,0.851,0.8658,0.8128,0.8659,0.1433,0.7485,0.1577,0.4405,0.7134,0.7969,0.559
8,0.8233,0.8357,0.8243,0.81,0.9007,0.9063,0.9078,0.8788,0.21,0.6636,0.1317,0.5046,0.4074,0.7678,0.7867,0.73,0.7867,0.8374,0.844,0.7915,0.8606,0.14,0.7358,0.1376,0.3945,0.7138,0.7784,0.6029
9,0.8324,0.8657,0.8229,0.8086,0.9148,0.9357,0.9089,0.8905,0.1757,0.714,0.1328,0.4361,0.3791,0.7556,0.7733,0.7067,0.7867,0.8309,0.8391,0.7894,0.851,0.1333,0.7647,0.1505,0.5132,0.6883,0.7766,0.6249
