epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6776,0.6843,0.6871,0.6614,0.7376,0.7321,0.7609,0.7072,0.14,0.7494,0.0937,0.7379,0.6048,0.7822,0.8067,0.75,0.79,0.8422,0.8419,0.8178,0.8495,0.19,0.6627,0.1621,0.3395,0.7349,0.8161,0.5584
1,0.729,0.7443,0.7186,0.7243,0.8048,0.8212,0.7946,0.7825,0.18,0.6794,0.144,0.5213,0.5332,0.7767,0.8033,0.74,0.7867,0.8546,0.8758,0.8178,0.851,0.1833,0.6978,0.194,0.3901,0.7236,0.805,0.4837
2,0.741,0.7586,0.7414,0.7229,0.8175,0.8403,0.8097,0.7857,0.2343,0.6177,0.1964,0.4171,0.519,0.7789,0.82,0.7433,0.7733,0.8562,0.8619,0.8233,0.859,0.2133,0.6464,0.2193,0.2903,0.7197,0.8222,0.5312
3,0.7643,0.7814,0.7371,0.7743,0.8387,0.8513,0.8089,0.8395,0.1929,0.6755,0.1783,0.4408,0.4942,0.7689,0.8033,0.7333,0.77,0.8541,0.8582,0.829,0.8495,0.1767,0.6768,0.1621,0.3395,0.7178,0.8262,0.5451
4,0.7681,0.7814,0.7557,0.7671,0.8558,0.8644,0.8464,0.8425,0.2071,0.662,0.1729,0.4577,0.4726,0.7644,0.8067,0.71,0.7767,0.8536,0.8669,0.8153,0.8511,0.2167,0.6561,0.2691,0.3116,0.6894,0.8098,0.5045
5,0.7843,0.8029,0.7714,0.7786,0.8627,0.8703,0.8654,0.8396,0.1714,0.7115,0.1348,0.5104,0.4631,0.7689,0.7867,0.73,0.79,0.8453,0.8341,0.8188,0.8594,0.1767,0.6864,0.1831,0.3287,0.7134,0.8036,0.6499
6,0.8105,0.8243,0.7929,0.8143,0.8824,0.8852,0.8658,0.8852,0.2,0.6767,0.1574,0.4359,0.4327,0.7667,0.7933,0.7267,0.78,0.8426,0.836,0.8134,0.8525,0.16,0.7037,0.1558,0.3653,0.7099,0.8057,0.6328
7,0.8186,0.8329,0.8129,0.81,0.8955,0.912,0.8906,0.8737,0.1657,0.7178,0.103,0.5184,0.4123,0.7556,0.7767,0.7267,0.7633,0.8395,0.8345,0.8101,0.8504,0.1967,0.6722,0.1962,0.4004,0.7143,0.8031,0.7718
8,0.83,0.8414,0.83,0.8186,0.9108,0.9196,0.9092,0.8966,0.1829,0.703,0.1147,0.4973,0.386,0.7589,0.78,0.7133,0.7833,0.834,0.8388,0.792,0.8467,0.22,0.6733,0.2661,0.4025,0.6955,0.7873,0.6662
9,0.8414,0.8557,0.8343,0.8343,0.9151,0.923,0.9151,0.9017,0.1986,0.6855,0.1428,0.4119,0.3832,0.7556,0.79,0.71,0.7667,0.8281,0.8421,0.7866,0.8364,0.18,0.7017,0.2097,0.4085,0.6925,0.7785,0.7011
