epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6957,0.7071,0.69,0.69,0.7525,0.7705,0.7619,0.714,0.1314,0.7254,0.089,0.6877,0.6168,0.7522,0.7733,0.71,0.7733,0.8319,0.8473,0.8015,0.8431,0.07,0.8645,0.0571,0.7586,0.6936,0.7871,399.43
1,0.7238,0.7457,0.7171,0.7086,0.7863,0.8104,0.7888,0.7498,0.1271,0.7633,0.088,0.6763,0.5598,0.77,0.81,0.7167,0.7833,0.8481,0.8709,0.8198,0.8424,0.1267,0.761,0.1365,0.444,0.6958,0.8025,2.565
2,0.7333,0.76,0.72,0.72,0.8041,0.817,0.795,0.7875,0.1214,0.7775,0.0898,0.6781,0.537,0.7756,0.8033,0.7233,0.8,0.8498,0.8681,0.8151,0.8537,0.1467,0.7233,0.1402,0.4068,0.7022,0.804,13.4907
3,0.7576,0.7786,0.7429,0.7514,0.8271,0.8378,0.8248,0.8069,0.13,0.758,0.0905,0.6216,0.5077,0.7756,0.8,0.73,0.7967,0.8486,0.8584,0.8219,0.8575,0.0833,0.8299,0.0624,0.6388,0.7108,0.8118,0.5032
4,0.7619,0.7843,0.7386,0.7629,0.8318,0.849,0.8199,0.8168,0.1371,0.7557,0.1159,0.5791,0.509,0.7589,0.8033,0.6967,0.7767,0.8414,0.86,0.8058,0.8504,0.1,0.7778,0.0995,0.3917,0.6749,0.7914,26.7514
5,0.7886,0.8257,0.76,0.78,0.8629,0.8772,0.8525,0.8509,0.1314,0.7641,0.1211,0.501,0.4639,0.7656,0.7933,0.7233,0.78,0.8485,0.8583,0.8107,0.8663,0.1033,0.7919,0.0755,0.6044,0.7059,0.7964,0.5633
6,0.7952,0.8129,0.7786,0.7943,0.8756,0.8875,0.8624,0.8738,0.12,0.7863,0.0679,0.6978,0.4496,0.7722,0.79,0.7333,0.7933,0.8428,0.8538,0.8138,0.8537,0.0967,0.8041,0.0509,0.7051,0.7165,0.8019,1.4348
7,0.8052,0.8386,0.7914,0.7857,0.8867,0.8982,0.8828,0.8709,0.15,0.7426,0.1193,0.4935,0.4269,0.7689,0.8133,0.7067,0.7867,0.8378,0.8557,0.8008,0.8415,0.12,0.7778,0.1509,0.4466,0.6838,0.7915,33.1333
8,0.8271,0.8529,0.8071,0.8214,0.9037,0.9181,0.8946,0.8918,0.1229,0.7823,0.0812,0.5771,0.3986,0.7611,0.79,0.7067,0.7867,0.8291,0.8408,0.8001,0.8381,0.1233,0.7687,0.129,0.5106,0.6864,0.7899,27.6712
9,0.8448,0.86,0.8371,0.8371,0.9202,0.9359,0.9142,0.9067,0.1214,0.7886,0.0505,0.6973,0.3662,0.7578,0.7867,0.7333,0.7533,0.8311,0.853,0.7986,0.8341,0.1067,0.8161,0.0922,0.6831,0.7164,0.7859,410.3361
