epoch, es_acc, acc, acc_class0, acc_class1, acc_class2, es_auc, auc, auc_class0, auc_class1, auc_class2, dpd, dpr, eod, eor, path
4, 0.6860, 0.7733, 0.8167, 0.7067, 0.7633, 0.7269, 0.8197, 0.8765, 0.7566, 0.8120, 0.1300, 0.7706, 0.1745, 0.4355, ./results/crosssectional_rnflt_race/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6
2, 0.6834, 0.7700, 0.7933, 0.7033, 0.7767, 0.7368, 0.8230, 0.8560, 0.7562, 0.8403, 0.1233, 0.7836, 0.1596, 0.4985, ./results/crosssectional_rnflt_race/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6
4, 0.6967, 0.7811, 0.7900, 0.7133, 0.7633, 0.7720, 0.8414, 0.8787, 0.7901, 0.8402, 0.0933, 0.7971, 0.0649, 0.5801, ./results/crosssectional_rnflt_race/fullysup_efficientnet_rnflt_Taskcls_lr5e-5_bz6
